Entity,Year,Retail,Out-of-home,Households,Total per capita food waste,Retail %,Out-of-home %,Households %
Canada,2019,12.77,25.49,78.31,116.57,10.954791112636185,21.866689542764004,67.17851934459982
Canada,2022,29.83,79.7,78.53,188.06,15.861958949271507,42.38009146017229,41.7579495905562
Cape Verde,2019,14.9,26.35,94.91,136.16,10.943008225616921,19.35223266745006,69.70475910693303
Cape Verde,2022,9.63,30.97,88.65,129.25,7.450676982591877,23.961315280464216,68.58800773694391
Cayman Islands,2019,12.57,25.09,72.54,110.2,11.406533575317605,22.76769509981851,65.8257713248639
Cayman Islands,2022,15.34,43.29,89.68,148.31,10.34320005394107,29.188861169172675,60.46793877688626
Central African Republic,2019,14.25,25.18,93.54,132.97,10.716703015717831,18.936602241107018,70.34669474317515
Central African Republic,2022,9.68,31.14,92.01,132.83,7.287510351577203,23.44349920951592,69.26899043890687
Central and Southern Asia (UN SDG),2019,15.64,25.28,57.56,98.48,15.881397238017872,25.670186839967506,58.44841592201462
Central and Southern Asia (UN SDG),2022,9.82,32.43,70.88,113.13,8.680279324670733,28.666136303367807,62.65358437196146
Chad,2019,15.47,27.34,101.55,144.36,10.71626489332225,18.938764200609583,70.34497090606816
Chad,2022,9.68,31.13,91.98,132.79000000000002,7.289705550116725,23.443030348670828,69.26726410121243
Chile,2019,12.75,25.45,73.58,111.78,11.406333870101985,22.76793701914475,65.82572911075326
Chile,2022,15.06,42.48,88.0,145.54,10.347670743438231,29.18785213686959,60.464477119692184
China,2019,15.77,45.98,64.45,126.2,12.496038034865292,36.43423137876386,51.069730586370845
China,2022,19.8,45.64,76.21,141.64999999999998,13.978115072361458,32.22026120720085,53.80162372043771
Colombia,2019,15.69,27.73,70.65,114.07,13.754712018935741,24.30963443499606,61.93565354606822
Colombia,2022,19.0,47.54,70.43,136.97,13.871650726436446,34.70833029130467,51.420018982258895
Comoros,2019,16.82,29.74,107.13,153.69,10.944108269893944,19.350640900514023,69.70525082959203
Comoros,2022,9.72,31.26,89.47,130.45,7.45113070141817,23.963204292832508,68.58566500574933
Congo,2019,15.11,26.7,96.19,138.0,10.94927536231884,19.34782608695652,69.70289855072464
Congo,2022,9.68,31.14,89.12,129.94,7.449592119439741,23.964906880098507,68.58550100046176
Cook Islands,2022,16.93,26.83,101.34,145.1,11.667815299793247,18.490696071674705,69.84148862853206
Costa Rica,2019,15.53,27.45,71.91,114.89,13.517277395769867,23.89241883540778,62.59030376882235
Costa Rica,2022,19.0,47.54,91.32,157.86,12.035981249208158,30.115292030913466,57.848726719878364
Cote d'Ivoire,2019,15.38,27.19,97.95,140.52,10.94506120125249,19.34955878166809,69.70538001707942
Cote d'Ivoire,2022,9.68,31.14,89.12,129.94,7.449592119439741,23.964906880098507,68.58550100046176
Croatia,2019,12.81,25.57,84.28,122.66,10.443502364258928,20.846241643567588,68.71025599217349
Croatia,2020,1.02,3.68,52.81,57.510000000000005,1.7736045905059987,6.398887150060858,91.82750825943313
Croatia,2021,1.01,3.64,52.31,56.96,1.7731741573033706,6.390449438202247,91.83637640449437
Croatia,2022,1.0,4.0,53.0,58.0,1.7241379310344827,6.896551724137931,91.37931034482759
Cuba,2019,15.66,27.69,72.54,115.89,13.51281387522651,23.893347139528863,62.59383898524463
Cuba,2022,19.0,47.54,91.32,157.86,12.035981249208158,30.115292030913466,57.848726719878364
Curacao,2019,10.84,21.64,62.55,95.03,11.40692412922235,22.771756287488163,65.82131958328948
Curacao,2022,14.97,42.23,87.49,144.69,10.346257516068839,29.186536733706543,60.467205750224615
Cyprus,2019,12.5,24.94,92.21,129.64999999999998,9.641342074816816,19.23640570767451,71.12225221750869
Cyprus,2020,40.62,21.93,51.18,113.73,35.71616987602215,19.282511210762333,45.00131891321551
Cyprus,2022,55.93,29.96,70.92,156.81,35.66736815254129,19.10592436706843,45.22670748039028
Czechia,2020,6.11,3.6,70.53,80.24000000000001,7.614656031904286,4.48654037886341,87.8988035892323
Czechia,2022,6.0,4.0,68.97,78.97,7.597821957705459,5.065214638470305,87.33696340382424
Czechia,2019,14.727992565055764,25.94,70.88,111.54799256505576,13.203278899408494,23.25456460802875,63.542156492562754
Democratic Republic of Congo,2019,15.1,26.69,99.13,140.92,10.715299460686916,18.939824013624754,70.34487652568833
Democratic Republic of Congo,2022,9.68,31.14,62.09,102.91,9.406277329705567,30.259450004858618,60.334272665435826
Denmark,2019,29.68,20.56,81.0,131.24,22.615056385248398,15.665955501371531,61.71898811338006
Denmark,2020,17.08,10.74,79.2,107.02,15.959633713324612,10.035507381797796,74.00485890487761
Denmark,2021,17.05,12.31,86.6,115.96,14.70334598137289,10.615729561917904,74.6809244567092
Denmark,2022,16.99,11.0,78.97,106.96,15.88444278234854,10.284218399401645,73.83133881824982
Developing regions,2019,14.727992565055764,30.97,83.11259259259259,128.81058515764835,11.433837170315241,24.043055127881395,64.52310770180337
Djibouti,2019,14.18,25.06,90.28,129.51999999999998,10.948116121062386,19.348363187152565,69.70352069178506
Djibouti,2022,9.67,31.11,89.06,129.84,7.447627849661122,23.960258780036966,68.59211337030192
Dominica,2019,15.72,27.79,72.81,116.32,13.514442916093536,23.89099037138927,62.5945667125172
Dominica,2022,18.29,45.76,87.9,151.95,12.036854228364593,30.115169463639358,57.84797630799606
Dominican Republic,2019,15.43,27.29,71.48,114.2,13.51138353765324,23.896672504378284,62.591943957968475
Dominican Republic,2022,19.01,47.55,160.26,226.82,8.381095141521913,20.963759809540605,70.65514504893748
East Timor,2019,15.79,27.92,87.19,130.9,12.062643239113827,21.3292589763178,66.60809778456837
East Timor,2022,44.2,40.29,77.85,162.34,27.226807933965752,24.81828261673032,47.954909449303926
Eastern and South-Eastern Asia (UN SDG),2019,15.89,38.65,68.41,122.95,12.923952826352176,31.435542903619357,55.640504270028465
Eastern and South-Eastern Asia (UN SDG),2022,27.22,41.21,70.18,138.61,19.63783276819854,29.73089964649015,50.6312675853113
Ecuador,2019,15.67,27.7,72.56,115.93,13.516777365651686,23.89372897438109,62.58949365996722
Ecuador,2022,19.0,47.54,95.97,162.51,11.691588209956311,29.253584394806474,59.05482739523722
Egypt,2019,14.87,26.28,86.51,127.66,11.648127839573867,20.585931380228732,67.76594078019741
Egypt,2022,9.68,31.14,162.95,203.77,4.750453943171222,15.281935515532217,79.96761054129655
El Salvador,2019,16.07,28.41,82.29,126.77,12.676500749388659,22.410664983828983,64.91283426678237
El Salvador,2022,19.02,47.57,91.39,157.98000000000002,12.03949867071781,30.1114065071528,57.84909482212937
Equatorial Guinea,2019,13.66,24.14,80.28,118.08,11.568428184281842,20.443766937669377,67.98780487804879
Equatorial Guinea,2022,15.32,30.83,90.05,136.2,11.248164464023496,22.63582966226138,66.11600587371514
Eritrea,2019,15.63,27.63,102.64,145.9,10.712816997943797,18.937628512679915,70.34955448937629
Eritrea,2022,9.67,31.1,91.9,132.67000000000002,7.2887615889048005,23.441622069797237,69.26961634129796
Estonia,2019,4.7,16.59,77.42,98.71,4.76142234829298,16.806807820889475,78.43176983081756
Estonia,2020,15.03,8.08,60.6,83.71000000000001,17.954844104646995,9.652371281806236,72.39278461354677
Estonia,2021,9.87,9.39,63.95,83.21000000000001,11.861555101550291,11.284701358009855,76.85374354043985
Estonia,2022,15.04,8.02,61.18,84.24,17.85375118708452,9.520417853751187,72.62583095916429
Eswatini,2019,15.35,27.14,97.76,140.25,10.944741532976828,19.351158645276293,69.70409982174688
Eswatini,2022,9.66,31.09,89.0,129.75,7.445086705202312,23.96146435452794,68.59344894026975
Ethiopia,2019,15.36,27.15,90.49,133.0,11.548872180451127,20.413533834586463,68.0375939849624
Ethiopia,2022,9.68,31.14,69.24,110.06,8.795202616754496,28.293658004724698,62.9111393785208
Europe (UN),2019,11.97,24.51,66.11,102.59,11.667803879520422,23.891217467589435,64.44097865289015
Europe (UN),2022,9.5,13.5,66.22,89.22,10.647836807890608,15.131136516476126,74.22102667563325
Europe and Northern America (UN SDG),2019,13.09,35.94,64.38,113.41,11.54219204655674,31.69032713164624,56.76748082179702
Europe and Northern America (UN SDG),2022,10.91,33.96,68.71,113.58,9.605564359922521,29.89963021658743,60.49480542349005
Falkland Islands,2022,0.0,0.0,0.0,0.0,,,
Faroe Islands,2019,12.07,24.1,71.79,107.96,11.180066691367173,22.323082623193777,66.49685068543906
Faroe Islands,2022,11.19,16.66,70.98,98.83,11.322472933319842,16.85722958615805,71.82029748052211
Fiji,2019,15.16,26.79,73.37,115.32,13.14602844259452,23.23100936524454,63.62296219216095
Fiji,2022,21.05,30.71,90.29,142.05,14.818725800774374,21.619148187258006,63.562126011967614
Finland,2019,12.84,23.35,65.55,101.74,12.620404953803815,22.95065854137999,64.4289365048162
Finland,2020,10.41,14.09,53.44,77.94,13.356428021555041,18.078008724659995,68.56556325378497
Finland,2021,10.38,14.63,62.67,87.68,11.838503649635037,16.685675182481752,71.47582116788321
Finland,2022,10.0,14.0,52.99,76.99000000000001,12.9886998311469,18.18417976360566,68.82712040524743
France,2019,25.89,24.76,85.75,136.4,18.980938416422287,18.1524926686217,62.86656891495601
France,2020,9.97,17.0,62.41,89.38,11.154620720519134,19.019914969791902,69.82546430968897
France,2021,9.81,16.8,63.27,89.88,10.914552736982644,18.691588785046733,70.39385847797064
France,2022,12.0,16.0,61.0,89.0,13.48314606741573,17.97752808988764,68.53932584269663
French Guiana,2022,14.18,22.48,93.17,129.82999999999998,10.921974890241087,17.314950319648776,71.76307479011015
French Polynesia,2019,11.94,23.83,73.33,109.1,10.944087992667278,21.842346471127406,67.21356553620532
French Polynesia,2022,13.31,20.84,82.45,116.6,11.415094339622643,17.873070325900514,70.71183533447685
Gabon,2019,15.15,26.78,89.06,130.99,11.565768379265592,20.444308725856935,67.98992289487747
Gabon,2022,15.37,30.93,90.35,136.64999999999998,11.247713135748263,22.634467618002198,66.11781924624955
Gambia,2019,14.64,25.87,96.1,136.61,10.716638606251372,18.937120269379985,70.34624112436862
Gambia,2022,9.69,31.18,92.13,133.0,7.285714285714286,23.44360902255639,69.27067669172932
Georgia,2019,16.58,29.31,107.03,152.92000000000002,10.842270468218675,19.166884645566306,69.99084488621502
Georgia,2022,31.43,29.37,100.86,161.66,19.44203884696276,18.16775949523692,62.390201657800326
Germany,2019,5.99,20.67,75.33,101.99,5.873124816158447,20.266692813020885,73.86018237082067
Germany,2020,9.15,22.33,77.96,109.44,8.360745614035087,20.403874269005847,71.23538011695906
Germany,2022,9.0,22.0,78.0,109.0,8.256880733944955,20.18348623853211,71.55963302752293
Ghana,2019,15.09,26.68,81.06,122.83,12.285272327607261,21.721077912562077,65.99364975983066
Ghana,2022,9.68,31.14,84.02,124.84,7.7539250240307585,24.94392822813201,67.30214674783723
Gibraltar,2019,13.21,26.36,86.89,126.46,10.445990827139017,20.844535821603667,68.70947335125732
Gibraltar,2022,9.9,17.9,75.79,103.59,9.556907037358817,17.279660198860892,73.16343276378029
Greece,2019,7.31,25.33,140.34,172.98000000000002,4.225922071915828,14.643311365475775,81.13076656260839
Greece,2020,14.31,20.93,88.5,123.74,11.564570874414095,16.91449814126394,71.52093098432198
Greece,2022,14.01,21.01,87.04,122.06,11.477961658200885,17.212846141242014,71.3091922005571
Greenland,2019,12.99,25.92,74.7,113.61,11.433852653815684,22.814893055188808,65.7512542909955
Greenland,2022,18.06,51.7,83.55,153.31,11.780053486400103,33.722522992629315,54.49742352097058
Grenada,2019,14.27,25.23,66.1,105.6,13.513257575757576,23.892045454545457,62.59469696969697
Grenada,2022,19.7,49.28,94.66,163.64,12.038621363969689,30.114886335859207,57.846492300171114
Guadeloupe,2022,14.55,23.06,95.6,133.20999999999998,10.922603408152543,17.311012686735232,71.76638390511224
Guam,2019,12.71,25.37,78.07,116.15,10.9427464485579,21.842445114076625,67.21480843736546
Guam,2022,13.01,20.37,59.23,92.61,14.04815894611813,21.99546485260771,63.95637620127415
Guatemala,2019,16.07,28.42,74.44,118.93,13.512150004204154,23.896409652736907,62.591440343058935
Guatemala,2022,19.0,47.54,91.32,157.86,12.035981249208158,30.115292030913466,57.848726719878364
Guinea,2019,15.51,27.42,101.85,144.78,10.712805636137587,18.939079983423127,70.34811438043928
Guinea,2022,9.68,31.14,89.13,129.95,7.449018853405157,23.9630627164294,68.58791843016544
Guinea-Bissau,2019,15.25,26.95,100.11,142.31,10.716042442554985,18.937530742744713,70.34642681470031
Guinea-Bissau,2022,9.7,31.2,92.19,133.09,7.2883011495980154,23.44278307911939,69.2689157712826
Guyana,2019,15.33,27.1,70.99,113.42,13.516134720507846,23.893493211073885,62.59037206841826
Guyana,2022,15.08,42.56,88.16,145.8,10.342935528120712,29.190672153635116,60.46639231824417
Haiti,2019,15.78,27.9,83.95,127.63,12.363864295228394,21.860064248217505,65.7760714565541
Haiti,2022,13.33,47.79,90.19,151.31,8.80972837221598,31.584164959354965,59.60610666842905
Honduras,2019,15.31,27.06,78.37,120.74,12.680139141957927,22.41179393738612,64.90806692065595
Honduras,2022,13.32,47.75,90.12,151.19,8.810106488524374,31.582776638666576,59.60711687280905
Hong Kong,2019,12.71,25.37,70.83,108.91,11.67018639243412,23.29446331833624,65.03535028922964
Hong Kong,2022,13.74,24.71,101.47,139.92000000000002,9.819897084048026,17.660091480846198,72.52001143510577
Hungary,2019,12.7,25.34,92.99,131.03,9.692436846523696,19.339082652827596,70.9684805006487
Hungary,2020,4.3,1.98,65.62,71.9,5.980528511821974,2.7538247566063974,91.26564673157162
Hungary,2021,5.9,1.99,65.36,73.25,8.054607508532424,2.7167235494880546,89.22866894197952
Hungary,2022,4.0,2.0,66.02,72.02,5.554012774229381,2.7770063871146906,91.66898083865593
Iceland,2019,12.04,24.03,71.59,107.66,11.183355006501952,22.320267508824077,66.49637748467397
Iceland,2022,11.79,17.56,74.78,104.13,11.32238547968885,16.863535964659558,71.81407855565159
India,2019,15.45,27.31,49.71,92.47,16.70812155293609,29.533902887422947,53.75797555964097
India,2022,9.68,32.49,55.17,97.34,9.944524347647421,33.37785083213479,56.6776248202178
Indonesia,2019,15.7,27.76,77.67,121.13,12.96128126805911,22.917526624287955,64.12119210765293
Indonesia,2022,49.93,40.11,53.46,143.5,34.79442508710802,27.95121951219512,37.254355400696866
Iran,2019,14.98,26.48,67.98,109.44,13.687865497076023,24.19590643274854,62.11622807017544
Iran,2022,9.68,32.49,92.7,134.87,7.177281826944465,24.089864313783643,68.7328538592719
Iraq,2019,14.79,26.15,113.91,154.85,9.551178559896673,16.887310300290604,73.56151113981272
Iraq,2022,31.47,30.16,143.34,204.97,15.353466360930867,14.714348441235304,69.93218519783383
Ireland,2019,12.78,55.99,54.55,123.32,10.363282517028868,45.40220564385339,44.234511839117744
Ireland,2020,14.59,36.09,48.73,99.41,14.676591892163767,36.30419474901922,49.01921335881702
Ireland,2021,15.04,37.89,44.28,97.21,15.471659294311285,38.977471453554166,45.550869252134554
Ireland,2022,11.99,35.98,47.97,95.94,12.497394204711279,37.502605795288716,50.0
Isle of Man,2019,12.91,25.77,76.79,115.47,11.180393175716636,22.31748506105482,66.50212176322854
Isle of Man,2022,11.24,16.75,71.34,99.33,11.315815966978757,16.86298197926105,71.8212020537602
Israel,2019,50.88,27.16,98.56,176.60000000000002,28.810872027180068,15.379388448471119,55.8097395243488
Israel,2022,50.01,24.16,96.75,170.92000000000002,29.259302597706526,14.13526796161947,56.605429440673994
Italy,2019,3.68,25.92,67.97,97.57,3.7716511222711904,26.56554268730143,69.66280619042739
Italy,2020,5.77,3.26,106.43,115.46,4.997401697557596,2.823488654079335,92.17910964836308
Italy,2021,8.01,4.44,107.0,119.45,6.705734616994557,3.717036416910842,89.57722896609461
Italy,2022,6.0,19.48,107.0,132.48,4.528985507246378,14.704106280193239,80.7669082125604
Jamaica,2019,16.39,28.97,75.9,121.26,13.516411017648029,23.890813128814116,62.59277585353785
Jamaica,2022,19.02,47.59,86.07,152.68,12.457427298925857,31.16976683259104,56.3728058684831
Japan,2008,10.22,23.2,83.7,117.12,8.726092896174864,19.808743169398905,71.46516393442623
Japan,2009,10.52,20.86,80.55,111.93,9.398731349950861,18.636647904940588,71.96462074510855
Japan,2010,9.3,17.89,83.68,110.87,8.388202399206278,16.136015152881754,75.47578244791198
Japan,2011,9.96,14.66,79.21,103.83,9.592603293845709,14.119233362226716,76.28816334392758
Japan,2012,9.57,14.99,69.18,93.74,10.209088969490079,15.991039044164712,73.79987198634522
Japan,2013,9.7,14.76,68.14,92.6,10.475161987041036,15.939524838012959,73.58531317494601
Japan,2014,9.95,15.2,64.51,89.66,11.09747936649565,16.952933303591344,71.94958732991302
Japan,2015,10.02,15.68,65.35,91.05,11.00494233937397,17.221306974190007,71.77375068643602
Japan,2016,10.01,15.7,62.12,87.83,11.397016964590687,17.875441193214165,70.72754184219515
Japan,2017,9.71,16.28,61.85,87.84,11.054189435336976,18.53369763205829,70.41211293260473
Japan,2018,9.69,17.01,60.69,87.39,11.088225197391004,19.464469618949536,69.44730518365945
Japan,2019,9.42,15.1,59.91,84.42999999999999,11.157171621461567,17.884638161790832,70.95819021674761
Japan,2020,8.86,12.02,59.68,80.56,10.998013902681231,14.920556107249256,74.08142999006951
Japan,2022,8.86,12.02,59.68,80.56,10.998013902681231,14.920556107249256,74.08142999006951
Jordan,2019,14.77,26.11,87.85,128.73,11.47362697117999,20.282762370853728,68.24361065796629
Jordan,2022,25.79,29.63,100.73,156.15,16.516170349023373,18.97534422030099,64.50848543067563
Kazakhstan,2019,15.47,27.35,74.89,117.71,13.142468779203128,23.235069237957696,63.622461982839184
Kazakhstan,2022,21.04,30.7,88.1,139.83999999999995,15.04576659038902,21.95366132723113,63.00057208237988
Kenya,2019,11.31,32.13,102.4,145.84,7.755074053757542,22.03099286889742,70.21393307734503
Kenya,2022,10.96,31.14,80.54,122.64,8.93672537508154,25.391389432485322,65.67188519243314
Kiribati,2019,14.8,26.17,86.15,127.12,11.642542479546885,20.586847073631215,67.7706104468219
Kiribati,2022,9.59,30.85,61.39,101.83,9.417656879112247,30.295590690366296,60.28675243052146
Kuwait,2019,12.14,24.22,89.55,125.91,9.64180764037805,19.235962195218807,71.12223016440315
Kuwait,2022,27.52,24.35,98.59,150.46,18.290575568257342,16.183703309849797,65.52572112189287
Kyrgyzstan,2019,15.87,28.05,92.34,136.26,11.646851607221489,20.585645090268606,67.76750330250991
Kyrgyzstan,2022,9.68,31.13,85.71,126.52,7.650964274423017,24.604805564337653,67.74423016123933
Laos,2019,15.55,27.48,85.83,128.86,12.067359925500543,21.32546950178488,66.60717057271457
Laos,2022,44.25,40.34,89.49,174.07999999999998,25.41934742647059,23.173253676470594,51.40739889705882
Latin America and the Caribbean (UN SDG),2019,15.47,27.55,72.85,115.87,13.351169413998445,23.77664624147752,62.87218434452403
Latin America and the Caribbean (UN SDG),2022,16.9,49.45,94.22,160.57,10.52500467086006,30.796537335741426,58.678457993398524
Latvia,2019,12.75,25.44,75.79,113.98,11.186173012809263,22.319705211440606,66.49412177575013
Latvia,2020,7.78,18.68,82.5,108.96,7.140234948604992,17.143906020558003,75.71585903083701
Latvia,2021,8.95,15.27,73.08,97.3,9.198355601233299,15.693730729701953,75.10791366906476
Latvia,2022,8.0,18.99,81.97,108.96,7.342143906020558,17.4284140969163,75.22944199706315
Least Developed Countries (LDCs),2019,15.66,23.51,93.66,132.82999999999998,11.789505382820147,17.699314913799597,70.51117970338026
